"1","1","1","500.00","50.00","500.00","0.00","2017-02-04 01:33:28","cash","1","450.00"
"2","1","1","550.00","0.00","550.00","0.00","2017-02-21 18:57:26","cash","1","550.00"
"3","1","1","0.00","550.00","0.00","0.00","2017-02-21 19:49:41","cash","1","-550.00"
"4","1","1","550.00","0.00","550.00","0.00","2017-02-21 19:55:57","cash","1","550.00"
"5","2","1","110.00","0.00","110.00","0.00","2017-02-21 19:56:17","cash","1","110.00"
"6","1","1","550.00","0.00","550.00","0.00","2017-02-21 19:57:12","cash","1","550.00"
"7","2","1","550.00","0.00","550.00","0.00","2017-02-21 19:57:29","cash","1","550.00"
"9","2","1",NULL,NULL,"0.00",NULL,"2017-02-21 21:16:52","credit","1","550.00"
"10","3","1","0.00","0.00","4840.00","0.00","2018-02-06 15:35:58","cash","1","4840.00"
"11","4","1","0.00","0.00","1920.00","0.00","2018-02-06 15:37:13","cash","1","1920.00"
"12","5","1","0.00","0.00","1420.00","0.00","2018-02-06 15:38:18","cash","1","1420.00"
"13","6","1","0.00","0.00","5800.00","0.00","2018-02-06 15:39:31","cash","1","5800.00"
"14","7","1","0.00","0.00","6000.00","0.00","2018-02-06 15:41:13","cash","1","6000.00"
"15","8","8","0.00","0.00","10250.00","0.00","2018-02-06 16:01:32","cash","4","10250.00"
"16","9","8","0.00","0.00","10100.00","0.00","2018-02-06 16:02:52","cash","4","10100.00"
"17","10","8","0.00","0.00","11250.00","0.00","2018-02-06 16:04:26","cash","4","11250.00"
"18","1","1","0.00","0.00","100.00","0.00","2018-02-13 01:12:52","cash","1","100.00"
"19","5","1","0.00","0.00","3300.00","0.00","2018-02-13 07:55:31","cash","1","3300.00"
"20","6","1","0.00","0.00","3580.00","0.00","2018-02-13 08:01:43","cash","1","3580.00"
"21","1","1","0.00","0.00","0.00","0.00","2018-02-15 12:49:17","cash","1","0.00"
"22","12","1","0.00","0.00","2400.00","0.00","2018-02-15 17:26:00","cash","1","2400.00"
"23","13","7","0.00","0.00","9000.00","0.00","2018-02-16 15:38:07","cash","2","9000.00"
"24","14","7","0.00","0.00","21000.00","0.00","2018-02-16 15:39:01","cash","2","21000.00"
"25","4","1","0.00","0.00","2360.00","0.00","2018-02-28 00:06:23","cash","1","2360.00"
